title,author,subject,additional_subjects,first_publish_year,cover_id,cover_url,edition_count,ratings_average,ratings_count,key
Pride and Prejudice,Jane Austen,Fiction,"Fiction, Romance, Historical, Regency, British and Irish fiction (fictional works by one author), Brothers and sisters, Courtship, Drama",1813,14348537,https://covers.openlibrary.org/b/id/14348537-L.jpg,4036,,0,/works/OL66554W
Alice's Adventures in Wonderland,Lewis Carroll,Fiction,"Alice (fictitious character : carroll), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, JUVENILE FICTION, classics",1865,10527843,https://covers.openlibrary.org/b/id/10527843-L.jpg,3546,,0,/works/OL138052W
The Picture of Dorian Gray,Oscar Wilde,Fiction,"British and irish fiction (fictional works by one author), Conduct of life, fiction, Fantasy fiction, Appearance (Philosophy), Fiction",1890,14314858,https://covers.openlibrary.org/b/id/14314858-L.jpg,3006,,0,/works/OL8193416W
Wuthering Heights,Emily Brontë,Fiction,"British and irish fiction (fictional works by one author), Children's fiction, Classic fiction, Classic Literature, Country homes",1846,12818862,https://covers.openlibrary.org/b/id/12818862-L.jpg,2885,,0,/works/OL21177W
A Christmas Carol,Charles Dickens,Fiction,"Ghost stories, Readers, Ebenzer Scrooge (Fictitious character), open_syllabus_project, Cartoons and comics",1843,13299222,https://covers.openlibrary.org/b/id/13299222-L.jpg,2727,,0,/works/OL8193497W
Adventures of Huckleberry Finn,Mark Twain,Fiction,"adventure and adventurers, Adventure stories, American fiction (fictional works by one author), American literature, Boys",1876,8157718,https://covers.openlibrary.org/b/id/8157718-L.jpg,2552,,0,/works/OL53908W
Emma,Jane Austen,Fiction,"Social life and customs, Mate selection, Fiction, Fathers and daughters, open_syllabus_project",1815,9278312,https://covers.openlibrary.org/b/id/9278312-L.jpg,2261,,0,/works/OL66513W
Oliver Twist,Charles Dickens,Fiction,"Bildungsromans, Boys, Brigands and robbers, British and irish fiction (fictional works by one author), British fiction",1822,13300802,https://covers.openlibrary.org/b/id/13300802-L.jpg,2209,,0,/works/OL8193478W
Frankenstein or The Modern Prometheus,Mary Shelley,Fiction,"Frankenstein (Fictitious character), Frankenstein's monster (Fictitious character), Fiction, Victor Frankenstein (Fictitious character), Scientists",1818,12356249,https://covers.openlibrary.org/b/id/12356249-L.jpg,2185,,0,/works/OL450063W
Hamlet,William Shakespeare,Fiction,"performing arts, Stage history, Reyes, reinas, soberanos, Venganza, History and criticism",1603,8281954,https://covers.openlibrary.org/b/id/8281954-L.jpg,2120,,0,/works/OL9170454W
